		Salsa	Rödlök		
		Bröd			
		Pommes			
	Laxburgare	90 kr			
		Burgare	Lax		
		Dressing	Timjan		
		Bröd			
		Pommes			
	Halloumiburgare	90 kr	Vegetarisk		
		Burgare	Halloumi		
		Dressing	Örter		
		Bröd			
		Pommes			
Okänd~	ingen	ingen	ingen	ingen	ingen
Indian Garden~	ingen	ingen	ingen	ingen	ingen
Prince Philosopher	Cuisine mediterraneenne 20110709 03.jpg	#ac4648	#8A383A	<a href="https://commons.wikimedia.org/wiki/User:Okki">Georges Seguin (Okki)</a>	<a href="https://creativecommons.org/licenses/by-sa/3.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;3.0</a>
	Éclaire chocolat grand cru	55 kr			
		Mjöl			
		Ägg			
		Mjölk			
		Socker			
		Smör			
		Grädde			
		Gelatin			
		Mörk choklad			
		Maizena			
	Éclaire fraises rhubarbe	55 kr	Vegetarisk		
		Mjöl			
		Ägg			
		Mjölk			
		Socker			
		Smör			
		Grädde			
		Vit choklad			
		Maizena			
		Jordgubbe			
		Rabarber			
		Mascarpone			
		Gelatin	Vegetarisk		
	Éclaire cerises pistache	55 kr			
		Mjöl			
		Ägg			
		Mjölk			
		Socker			
		Smör			
		Grädde			
		Gelatin			
		Vit choklad			
		Körsbär			
		Cream cheese			
		Pistage			
	Éclaire ispahan	55 kr			
		Mjöl			
		Ägg			
		Mjölk			
		Socker			
		Smör			
		Grädde			
		Gelatin			
		Vit choklad			
		Litchi			
		Hallon			
	Éclaire caramel	55 kr			
		Mjöl			
		Ägg			
		Mjölk			
		Socker			
		Smör			
		Grädde			
		Gelatin			
		Vit choklad			
		Maizena			
	Verrine Belle Hélène	55 kr			
		Mjöl	Glutenfritt		
		Choklad			
		Grädde			
		Ägg			
		Socker			
		Kanel			
		Gelatin			
		Päron			
		Vanilj			
	Verrine citron jasmin	55 kr			
		Mjöl			
		Grädde			
		Gelatin			
		Ägg			
		Choklad			
		Citron			
		Smör			
		Jasmin			
	Verrine capuccino fleur d'orange coco passion	55 kr			
		Mjöl			
		Grädde			
		Gelatin			
		Ägg			
		Choklad			
		Mandel			
		Kokosnöt			
		Passionsfrukt			
		Smör			
		Kaffe			
	Verrine réglisse chocolat caramel framboise	55 kr			
		Mjöl			
		Smör			
		Grädde			
		Lakrits			
		Choklad			
		Socker			
		Hallon			
		Gelatin			
		Mandel			
Pho & Bun	Mắm từ cá.jpg	#d9551d	#C34C1A	<a href="https://commons.wikimedia.org/wiki/User:B%C3%B9i_Th%E1%BB%A5y_%C4%90%C3%A0o_Nguy%C3%AAn">Bùi Thụy Đào Nguyên</a>	<a href="https://creativecommons.org/licenses/by-sa/3.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;3.0</a>
	Fläskfilé	55 kr	Grillad		
		Vårrulle	Friterad		
		Sallad			
	Cha Nem	90 kr			
		Vårrulle	Friterad		
		Glasnudlar			
		Kyckling			
		Räkor			
		Crabsticks			
		Rotfrukter			
		Risnudlar			
		Jordnötter	Rostade		
		Färska grönsaker			
	Nem Tuoi	90 kr			
		Vårrullar			
		Räkor			
		Mynta			
		Risnudlar			
		Gurka			
	Nem Tuoi	90 kr			
		Vårrullar			
		Kyckling			
		Mynta			
		Risnudlar			
		Gurka			
	Heo Nuong	90 kr			
		Fläskfile	Grillad		
		Risnudlar			
		Jordnötter			
		Sallad			
		Örter			
	Ga Xao Sa Ot	90 kr			
		Kycklingfilé	Wokad		
		Citrongräs			
		Chili			
		Ingefära			
		Gul lök			
		Färska grönsaker			
Rotisserie by Melanders	RotisserieChicken.jpg	#8f5147	#814940	<a href="https://commons.wikimedia.org/wiki/User:JMSchneid">Joe Schneid, Louisville, KY</a>	<a href="https://creativecommons.org/licenses/by/3.0/deed.sv" rel="license">CC&nbsp;BY&nbsp;3.0</a>
	Friterad torsktunga med remoulad	55 kr			
		Torsk	Friterad		
		Remoulad			
	Pommes med aioli	40 kr			
		Pommes			
		Aioli			
	Lammstek med trädgårdssallad	95 kr			
		Lamm			
		Trädgårdssallad			
		Pommes			
	Fläskkarré med trädgårdssallad	95 kr			
		Fläskkarré			
		Trädgårdssallad			
		Pommes			
	Spädgris	235 kr			
		Pommes			
		Sallad	Tomat		
Fish´n Chips by Melanders	Grisblänkan August 2013 (cropped).jpg	#FFdd88	#fec503	<a href="https://commons.wikimedia.org/wiki/User:ArildV">Arild Vågen</a>	<a href="https://creativecommons.org/licenses/by-sa/3.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;3.0</a>
	Fish n chips	90 kr			
		Torsk	MSC-märkt		
	Bläckfisk	95 kr	Egenpanerad		
		Pommes			
		Aioli			
Boqueria	Tapas in einer spanischen Bar.jpg	#e16e25	#CA6321	<a href="https://en.wikivoyage.org/wiki/User:Benreis">Benreis</a>	<a href="https://creativecommons.org/licenses/by-sa/3.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;3.0</a>
	Papas fritas	55 kr			
		Mojo rojo			
	Churrasco	95 kr			
		Fläskkarré	Rotisseriegrillad		
		Papas fritas			
		Mojo rojo			
		Salsa	Tomat		
	Churros	55 kr			
		Kanel			
		Socker			
		Chokladsås			
Tennstopet	Restaurang Tennstopet, 2014.jpg	#a32f44	#822636	<a href="https://commons.wikimedia.org/wiki/User:Holger.Ellgaard">Holger.Ellgaard</a>	<a href="https://creativecommons.org/licenses/by-sa/4.0/deed.sv" rel="license">CC&nbsp;BY-SA 4.0</a>
	Gubbröra	55 kr			
		Kavring			
	Tennstopets kryddiga fläskkorv	95 kr			
		Fläskkorv			
		Potatissallad			
		Senap	Cider		
	Kall inkokt lax	115 kr			
		Lax			
		Majonnäs	Dill		
		Pressgurka			
		Potatis			
		Citron			
Yolo	YOLO You only live once.jpg	#fe782a	#E56C26	<a href="https://commons.wikimedia.org/wiki/User:CanadianDude1">CanadianDude1</a>	<a href="https://creativecommons.org/licenses/by-sa/3.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;3.0</a>
	Soyaglacerad Fläsksida	55 kr			
		Fläskssida	Sojasås		
		Harissa			
		Salsa	Mango		
	Räktacos	85 kr			
		Taco			
		Räkor			
		Sylt	Chili		
		Rättika	Syrad		
		Passionsfrukt			
		Shizo			
	Grillad misokryddad lax	115 kr			
		Lax	Grillad		
		Krydda	Miso		
		Hjärtsallad			
		Lök	Syrad		
		Majonnäs	Soja		
	Yolos glasstrut	45 kr			
		Glasstrut			
Tumi Cosina Peruana	Ceviche en Parchita y Cocuy.JPG	#b9281d	#A6241A	<a href="https://commons.wikimedia.org/wiki/User:Alejandro_C_7ve">Alejandro C 7ve</a>	<a href="https://creativecommons.org/licenses/by-sa/3.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;3.0</a>
	Papa a la Huancaina	35 kr			
		Potatis			
		Aji amarillo			
		Färskost			
	Anticuchos	55 kr / 90 kr			
		Hjärta	Gödkalv		
